Timestamp,username,age,gender,Question1,Question2,Question3,Question4,Question5,Question6,Question7,Question8,Question9,Question10,Question11,Question12,Question13,Question14,Question15,Question16,Question17,Question18,Question19,Question20,points,time_taken,tiredness,sport_freq
26/02/2024 16:37:26,gbkd,20,female,0,1,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,5,221.1515493,5,Sometimes
26/02/2024 16:41:55,snlc,20,male,0,0,1,1,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,8,210.1235292,5,Often
26/02/2024 16:47:01,YOh,20,male,0,1,0,0,0,1,0,0,0,1,1,0,0,1,0,0,1,0,0,0,6,226.0020709,7,Never
26/02/2024 16:52:08,FSSR,19,female,0,1,1,0,1,1,0,1,0,1,1,0,0,1,0,0,0,1,0,1,10,222.4534359,8,Often
26/02/2024 16:57:40,CWCM,20,female,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,0,0,0,1,0,13,208.0446756,5,Never
04/03/2024 14:14:53,tmlm,22,female,0,1,0,0,0,1,1,1,1,0,1,0,0,1,0,0,0,0,1,0,8,234.9846857,4,Never
04/03/2024 14:20:54,EH,20,male,0,1,0,0,0,0,0,0,0,1,1,0,0,1,1,1,0,0,0,0,6,178.521729,6,Sometimes
04/03/2024 14:30:28,ZMHL,19,male,1,1,1,0,1,1,1,1,1,1,0,1,0,0,0,1,0,0,1,1,13,245.1143615,2,Sometimes
04/03/2024 14:35:10,aret,19,female,0,1,1,0,0,1,1,1,0,0,1,1,0,1,0,1,0,1,0,0,10,231.6768687,7,Never
04/03/2024 14:42:19,jtaa,20,male,0,1,0,1,1,1,1,1,0,0,0,0,0,1,0,1,0,0,0,1,9,238.3224916,3,Often
04/03/2024 14:53:01,LNAH,21,male,1,0,0,0,1,1,1,1,1,0,1,0,0,1,0,0,1,0,0,0,9,186.4012871,5,Sometimes
04/03/2024 14:58:31,ajhf,36,male,1,1,1,0,1,1,1,1,1,1,1,1,0,1,0,1,0,1,1,0,15,215.4454803,1,Sometimes
06/03/2024 11:21:19,adib,21,male,0,0,1,1,1,1,1,0,0,0,1,0,1,1,0,1,1,0,0,0,10,212.0091012,9,Sometimes
06/03/2024 11:46:13,rae,20,female,1,1,0,1,1,1,1,0,1,1,1,0,0,0,1,1,0,1,0,0,12,215.8272636,8,Never
07/03/2024 13:49:41,GG99,19,male,1,1,1,1,0,1,0,0,1,0,1,0,0,1,1,0,1,0,0,1,11,213.5920029,4,Often
07/03/2024 14:29:22,BZBZ,19,female,1,0,1,0,1,1,1,1,1,1,0,0,0,1,0,1,0,1,0,1,12,216.7938099,5,Frequent
07/03/2024 15:46:43,0717,20,female,0,1,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,5,220.1381209,3,Never
07/03/2024 16:17:26,FAUZ,21,female,0,1,0,0,0,1,1,1,1,1,0,0,1,0,0,1,0,0,0,0,8,226.1187663,7,Never
07/03/2024 17:38:23,1145,21,male,1,0,1,0,1,1,1,1,0,1,0,1,0,1,1,0,0,0,0,0,10,232.1817141,2,Frequent
07/03/2024 17:48:54,LHNB,20,male,1,0,0,1,1,1,1,1,0,0,1,0,0,1,0,0,0,1,1,1,11,219.7033284,6,Frequent
07/03/2024 18:10:32,sdll,21,female,0,1,0,1,1,1,0,1,0,0,0,1,0,0,0,1,1,1,1,0,10,242.4176142,5,Often
07/03/2024 22:15:36,fftc,22,female,1,0,1,1,1,1,1,1,1,0,1,1,1,0,1,1,0,0,1,0,14,222.2224929,4,Never
08/03/2024 13:17:26,HYZY,21,male,1,1,0,1,1,1,0,1,0,0,0,0,1,1,0,0,0,0,1,0,9,244.4884398,5,Sometimes
08/03/2024 15:07:58,kbba,21,male,0,0,1,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,5,212.3206234,5,Sometimes
08/03/2024 16:18:26,HWSY,19,female,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,6,240.3743649,5,Never
08/03/2024 16:27:04,FZFZ,21,male,0,0,0,0,0,1,1,1,0,1,0,1,0,1,0,0,0,0,0,0,6,246.4802144,7,Sometimes
08/03/2024 16:32:37,ISAC,21,male,1,0,0,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,6,195.5593753,5,Never
08/03/2024 17:57:29,IQAH,21,female,1,1,1,0,1,1,1,1,0,0,0,1,0,1,1,1,0,0,1,0,12,236.98157,8,Sometimes
08/03/2024 18:14:07,MLAW,21,male,0,1,0,0,1,1,0,1,1,1,1,1,1,1,1,1,0,0,0,1,13,235.2307777,5,Sometimes
08/03/2024 21:53:30,XHSB,20,male,1,0,1,0,1,0,1,0,0,0,0,1,0,1,1,1,0,1,0,0,9,204.0854733,7,Never
08/03/2024 22:31:21,baby,22,female,1,0,1,1,1,1,1,1,1,0,1,0,1,1,0,0,0,0,0,0,11,240.8772032,8,Never
